赵一荻（1912年5月28日—2000年6月22日），又名绮霞，乳名香笙，出生在香港，为张学良的第三任妻子，因在姐妹中排行第四（幺女），而被称赵四小姐。其父赵庆华（字燧山），浙江兰溪人，在北洋政府时代，官至交通部次长（副部长）。赵一荻幼年随父移居北京，就读于京城教会学校。其父被免职后，避居于天津租界。赵一荻陪伴张学良72年，是中国现代史上颇具神秘色彩的一位女性。在台湾幽居时期，出版有《好消息》、《新生命》、《真自由》、《大使命》、《毅荻见证集》等著作。2000年6月22日上午11点11分，赵一荻与世长辞，享年88岁。	赵一荻 又名 绮霞 乳名 香笙 出生 香港 张学良 第三任 妻子 因在 姐妹 排行 第四 赵四 小姐 其父 赵庆华 浙江 兰溪 北洋政府 时代 官至 交通部 次长 部长 赵一荻 幼年 随父 移居 北京 就读于 京城 教会学校 其父 免职 避居 天津 租界 赵一荻 陪伴 张学良 中国 现代史 颇具 神秘色彩 一位 女性 台湾 幽居 时期 出版 好消息 生命 自由 使命 毅荻 见证 著作 上午 赵一荻 与世长辞 享年
陈洁如（1905年～1971年1月21日），祖籍宁波，出身小商人之家，自幼居住上海。经过蒋介石的追求，二人结合，也曾有过一段很美好的生活；但蒋为了政治需求，同宋美龄结合，诱骗陈洁如远赴美国留学五年；二人离婚后常有书信往来，一度曾旧情复燃；陈洁如终生未育，只有一养女瑶光；中华人民共和国成立后，任上海市卢湾区政协委员，1961年经周恩来批准移居香港，1971年1月21日离世；2002年秋，陈瑶光将母亲的棂榇安葬在上海福寿园。	陈洁 祖籍 宁波 出身 商人 自幼 居住 上海 蒋介石 追求 二人 结合 一段 美好 生活 政治 需求 宋美龄 结合 诱骗 陈洁 如远 赴美国 留学 五年 二人 离婚 常有 书信往来 一度 旧情 复燃 陈洁 终生 未育 养女 瑶光 中华人民共和国 成立 上海市 卢湾区 政协委员 年经 周恩来 批准 移居 香港 离世 年秋 陈瑶光 母亲 安葬 上海 福寿园
孔祥熙（1880年9月11日－1967年8月16日）字庸之，号子渊，山西太谷人，祖籍山东曲阜，生于太谷县一个亦商亦儒的家庭，孔子的第七十五世孙。中华民国南京国民政府行政院长，兼财政部长，亦是一名银行家及富商。孔祥熙的妻子为宋霭龄，岳父是宋嘉树。孔祥熙与宋子文、蒋介石为姻亲关系。孔祥熙长期主理国民政府财政，主要政绩有改革中国币制，建设中国银行体系，加大国家对资本市场的控制等。1967年8月15日在纽约心脏病发去世。[1-2] 	孔祥熙 号子 山西 太谷 祖籍 山东 曲阜 生于 太谷县 商亦儒 家庭 孔子 第七 世孙 中华民国 南京 国民政府 行政院长 财政部长 一名 银行家 富商 孔祥熙 妻子 宋霭龄 岳父 宋嘉树 孔祥熙 宋子文 蒋介石 姻亲 关系 孔祥熙 长期 主理 国民政府 财政 主要 政绩 改革 中国 币制 建设 中国银行 体系 加大 国家 资本 市场 控制 纽约 心脏病发 去世
刘亚雄，无产阶级革命家、中共杰出妇女工作者。刘亚雄，女，1901年10月22日生，山西省兴县人。曾用名刘晋生、刘静生。是开明绅士刘少白的女儿，陈原道夫人，子刘纪原。曾任劳动部副部长，中央监察委员会委员兼驻交通部监察组长，交通部顾问。中共第七届，八届代表大会代表，八届二中全会上补选为中央监察委员会委员，是一，二，三次全国人民代表大会代表，第三届全国人大常委。第一届全国政协委员，第五，六届全国政协委员常委。	刘亚雄 无产阶级 革命家 中共 杰出 妇女 工作者 刘亚雄 日生 山西省 兴县 曾用名 刘晋生 刘静生 开明 绅士 刘少白 女儿 陈原 夫人 刘纪原 曾任 劳动部 部长 中央 监察 委员会 委员 交通部 监察 组长 交通部 顾问 中共 第七届 八届 代表大会 代表 八届 二中全会 补选 中央 监察 委员会 委员 三次 全国人民代表大会 代表 第三届 全国人大 常委 第一届 全国政协 委员 第五 六届 全国政协 委员 常委
杨成武（1914年10月27日—2004年2月14日），福建省长汀县客家人，是中共的优秀党员，共产主义战士，无产阶级革命家、军事家。[1] 杨成武于1929年参加革命，1930年加入中国共产党。17岁当上团政委。后任红1军团第1师政治委员，指挥过抗日战争、解放战争，为创建新中国立下了不朽功勋。1955年被授予上将军衔。1955年获一级八一勋章、一级独立自由勋章和一级解放勋章，1988年获一级红星功勋荣誉章。	杨成武 福建省 长汀县 客家人 中共 优秀党员 共产主义 战士 无产阶级 革命家 军事家 杨成武 参加 革命 加入 中国共产党 当上 团政委 后任 军团 政治委员 指挥 抗日战争 解放战争 创建 中国 立下 不朽 功勋 授予 上将 军衔 一级 勋章 一级 独立 自由 勋章 一级 解放 勋章 一级 红星 功勋 荣誉章
刘伯承（1892年12月4日～1986年10月7日），原名刘明昭，曾用名刘伯坚，四川省开县人（现重庆市开州区）。中国共产党的优秀党员，中华人民共和国元帅，中国人民解放军缔造者之一，伟大的无产阶级革命家、军事家、马克思主义军事理论家，军事教育家。辛亥革命时期从军，1926年加入中国共产党。相继参加了北伐战争、八一南昌起义、土地革命战争、长征、抗日战争、解放战争等。建国后，历任中共中央西南局第二书记，西南军政委员会主席，中国人民解放军军事学院院长兼政委，中央人民政府人民革命军事委员会副主席。1955年被授予元帅军衔。1986年10月7日，刘伯承在北京逝世，终年94岁。[1] 刘伯承为中华民族和中国人民的解放事业建立了不朽功勋，为我国的国防建设和社会主义建设事业作出了杰出贡献，对我军向正规化、现代化迈进作出了卓越的贡献。[2] 	刘伯承 原名 刘明 曾用名 刘伯坚 四川省 开县 重庆市 开州区 中国共产党 优秀党员 中华人民共和国 元帅 中国人民解放军 缔造者 伟大 无产阶级 革命家 军事家 马克思主义 军事 理论家 军事 教育家 辛亥革命 时期 从军 加入 中国共产党 相继 参加 北伐战争 南昌起义 土地革命战争 长征 抗日战争 解放战争 建国 历任 中共中央 西南局 书记 西南军政委员会 主席 中国人民解放军 军事学院 院长 政委 中央人民政府 人民 革命 军事 委员会 主席 授予 元帅 军衔 刘伯承 北京 逝世 终年 刘伯承 中华民族 中国 人民 解放事业 建立 不朽 功勋 我国 国防建设 社会主义 建设 事业 作出 杰出贡献 我军 正规化 现代化 迈进 作出 卓越 贡献
张春桥（1917年2月1日-2005年4月21日），男，汉族，山东菏泽巨野人，江青反革命集团的主犯[1] 。曾任中共中央政治局常委、中华人民共和国国务院副总理、中共中央军事委员会常委兼中国人民解放军总政治部主任、南京军区政委、上海市革命委员会主任、中共上海市委第一书记。他是四人帮成员、无产阶级文化大革命主要策划者之一。1976年10月被中共中央隔离审查，并被撤销其在上海市的党内外一切职务。1977年7月中共第十届三中全会通过决议，永远开除其党籍，次月20日至1981年1月25日受到中华人民共和国最高人民法院特别法庭的公开审判，被判处死刑，缓期二年执行。1983年1月依法减为无期徒刑，剥夺政治权利终身。1997年12月减为有期徒刑18年，剥夺政治权利10年。1998年1月保外就医。2005年4月21日因患癌症去世。	张春桥 汉族 山东 菏泽 巨野 江青 反革命 集团 主犯 曾任 中共 中央政治局常委 中华人民共和国国务院 总理 中共 中央军事委员会 常委 中国人民解放军总政治部 主任 南京军区 政委 上海市 革命 委员会 主任 中共上海市委 第一书记 四人帮 成员 无产阶级 文化大革命 主要 策划者 中共中央 隔离 审查 撤销 上海市 党内外 职务 中共 第十届 三中全会 决议 永远 开除 党籍 日至 受到 中华人民共和国 最高人民法院 特别法庭 公开审判 判处死刑 缓期 二年 执行 依法 无期徒刑 剥夺 政治权利 终身 减为 有期徒刑 剥夺 政治权利 保外就医 因患 癌症 去世
陈有后（1915年～2010年6月12日），香港资深艺人，资深甘草演员。陈有后活跃时期介于70年代至80年代之间，擅长角色是阿伯、高僧、老人家。曾与陈小春合作《鹿鼎记》。代表作是旧版《鹿鼎记》中饰洪教主。2010年6月12日因病去世，享寿95岁。参演的电影《她的爸的妈妈的》(1976)、《出笼》(1977)、《乱龙搏懵》(1977)、《狗咬狗骨》(1978)、《林亚珍老虎鱼虾蟹》(1979)、《败家仔》(1981)、《君子好逑》(1984)、《淫种》(1984)、《法外情》(1985)、《城市丽人》(1987)、《夺命佳人》(1987)、《奸人本色》(1988)、《古惑大律师》(1990)、《最后判决》(1997）。	陈有 香港 资深 艺人 资深 甘草 演员 陈有 活跃 时期 介于 年代 年代 之间 擅长 角色 阿伯 高僧 老人家 陈小春 合作 鹿鼎记 代表作 旧版 鹿鼎记 中饰 教主 因病 去世 享寿 参演 电影 妈妈 出笼 乱龙搏 狗咬狗 林亚珍 老虎 鱼虾 败家 君子好逑 淫种 法外情 城市 丽人 夺命 佳人 奸人 本色 古惑 律师 最后 判决
爱新觉罗·溥仪（1906年2月7日—1967年10月17日），清朝末代皇帝，字曜之，号浩然。也称清废帝或宣统帝。是道光帝旻宁的曾孙、醇贤亲王奕譞之孙、摄政王载沣长子，母亲苏完瓜尔佳·幼兰。1908年到1912年、1917年7月1日到1917年7月12日两次在位。[1-2] 1911年辛亥革命爆发，1912年2月12日被迫退位，清朝统治结束。九·一八事变之后在日本人控制下做了伪满洲国的傀儡皇帝，年号康德（1934年—1945年），所以又称“康德皇帝”。1945年8月15日，日本投降。8月17日，溥仪在沈阳准备逃亡时被苏联红军俘虏，被带到苏联。1950年8月初被押解回国，在抚顺战犯管理所学习、改造，1959年根据中华人民共和国主席刘少奇签署的特赦令[3] 获得特赦，后成为全国政协委员。溥仪一生四次结婚，娶过五个女人，最后一次婚姻是在1962年与李淑贤结婚。溥仪著有自传《我的前半生》，于1964年4月由群众出版社出版。其独特的富有戏剧性的经历，多次被改编成影视作品，其中电影《末代皇帝》，曾荣获1987年奥斯卡金像奖等众多奖项。1967年10月17日，溥仪因尿毒症在北京逝世，享年61岁。先葬于八宝山，后迁于清西陵内崇陵（光绪陵）附近的华龙皇家陵园。	爱新觉罗 溥仪 清朝 末代皇帝 字曜 浩然 清废帝 宣统 道光帝 曾孙 醇贤 亲王 摄政王 长子 母亲 苏完 瓜尔 幼兰 日到 两次 在位 辛亥革命 爆发 被迫 退位 清朝 统治 结束 事变 之后 日本 控制 伪满洲国 傀儡 皇帝 康德 又称 康德 皇帝 日本 投降 溥仪 沈阳 准备 逃亡 苏联红军 俘虏 带到 苏联 月初 押解 回国 抚顺战犯管理所 学习 改造 中华人民共和国 主席 刘少奇 签署 特赦令 获得 特赦 成为 全国政协 委员 溥仪 一生 四次 结婚 五个 女人 最后 一次 婚姻 李淑贤 结婚 溥仪 自传 前半生 群众 出版社 出版 独特 富有 戏剧性 经历 多次 改编 影视作品 电影 末代皇帝 荣获 奥斯卡金像奖 众多 奖项 溥仪 尿毒症 北京 逝世 享年 先葬于 八宝山 迁于 清西陵 内崇陵 光绪 附近 华龙 皇家 陵园
黄炎培（1878年10月1日-1965年12月21日），号楚南，字任之，笔名抱一；出生于川沙镇内史第，江苏川沙县（今属上海市）人。1901年入南洋公学，选读外文科，受知于中文总教习蔡元培；1905年参加同盟会。曾字楚南（一作号），改字韧之（辛亥年在上海赵凤昌惜阴堂讨论国事会议记录签署。后见1915年《学生会会报》、1917年杭州《教育周报》），一作讱之，又改任之（署见《学生会会报》），别号观我生，笔名抱一（见《小说月报》）、同父（见解放前《展望》）影射名王培芝（见龙公《江左十年目睹记》），人称珐琅博士（早年欲以抵制舶来品的搪瓷器皿，曾在中华职业学校设置珐琅科，附设珐琅工场，提出“劳工神圣，双手万能”口号，以致遭到少数人的讥刺为“珐琅博士”）。新中国成立后，黄炎培破“不为官吏”的立身准则，欣然从政。	黄炎培 楚南 字任 笔名 生于 川沙镇 内史 江苏 川沙县 今属 上海市 年入 南洋 公学 选读 文科 受知于 中文 总教习 蔡元培 参加 同盟会 曾字 楚南 一作 改字韧 辛亥年 上海 赵凤昌 惜阴 讨论 国事 会议记录 签署 后见 学生会 杭州 教育 周报 改任 署见 学生会 别号 我生 笔名 小说月报 同父 解放前 展望 影射 名王 培芝 见龙公 江左 十年 目睹 人称 珐琅 博士 早年 抵制 舶来品 搪瓷 器皿 中华 职业 学校 设置 珐琅 附设 珐琅 工场 提出 劳工神圣 双手万能 口号 遭到 少数 讥刺 珐琅 博士 中国 成立 黄炎培 官吏 立身 准则 欣然 从政
